ASN 	Provider 	Link 	Notes
286 	KPN Eurorings 	http://stats.eurorings.net/cgi-bin/lg.cgi 	OK
378 	ILAN 	http://noc.ilan.net.il/LG/ 	OK
513 	CERN 	http://lg.cern.ch/ 	OK
553 	BelWue 	http://www.belwue.de/lg/lg.cgi 	OK
577 	Bell 	http://as577.net 	OK
559 	SWITCH 	http://lg.lan.switch.ch/lg/lg.cgi 	OK
680 	DFN 	http://www.noc.dfn.de/lg/ 	OK
766 	RedIRIS 	http://www.rediris.es/red/lg/ 	OK
812 	Rogers Telecom 	https://supernoc.rogerstelecom.net/ops/ 	OK
852 	Telus 	http://aurora.on.tac.net/	OK
1120 	Vienna Internet eXchange 	http://www.vix.at/cgi-bin/lg.cgi 	OK
1213 	HEAnet 	http://www.hea.net/cgi-bin/lg.cgi 	OK
1239 	SprintLink 	https://www.sprint.net/lg/ 	OK
1273 	Cable & Wireless 	https://support.cw.com/?TESTDRIVE=1&LG=1 	OK
1299 	TeliaSonera 	http://lg.telia.net/ 	OK
1653 	SUNET 	http://stats.sunet.se/looking-glass/lg.cgi 	OK
1741 	FUNET/CSC 	http://www.csc.fi/suomi/funet/noc/looking-glass/lg.cgi 	OK
1916 	RNP 	http://www.rnp.br/servicos/lg/ 	OK
2110 	EsatBT 	http://lg.as2110.net 	OK
2128 	INEX 	https://www.inex.ie/lg/ 	OK
2603 	NORDUnet 	http://www.nordu.net/connectivity/looking-glass/lg.cgi 	OK
2607 	SIX - Slovak Internet eXchange 	http://www.six.sk/lg.html 	OK
2820 	Elvis-Telekom 	http://noc.telekom.ru/lg/ 	OK
2828 	XO 	http://xostats.xo.com/cgi-bin/xostats/diagtool-pub/bgp 	OK
2854 	Orange Business Services Russia 	http://lg.gin.ru/ 	OK
2914 	NTT Communications 	http://www.us.ntt.net/support/looking-glass/ 	OK
3216 	Golden Telecom Russia 	http://lg.gldn.net/ 	OK
3257 	Tiscali 	http://www.ip.tiscali.net/lg/ 	OK
3267 	RUNNet 	http://noc.runnet.ru/lookingglass/index.htm 	OK
3277 	RUSnet 	http://lg.rusnet.ru/ 	OK
3292 	TDC 	http://noc.tele.dk/cgi-bin/lg.cgi 	OK
3308 	Telia Networks (Danish Network) 	http://lg.drift.telia.dk/cgi-bin/lg.cgi 	OK
3320 	Deutsche Telekom 	https://f-lga1.f.de.net.dtag.de/ 	OK
3327 	Linxtelecom 	http://lg.version6.net/ 	OK
3344 	Kewlio.net Ltd 	http://www.as3344.net/lg/index.k 	OK
3356 	Level3 	http://lg.level3.net/ 	OK
3561 	Savvis 	http://as3561lg.savvis.net/lg.html 	OK
3602 	Rogers Telecom 	https://supernoc.rogerstelecom.net/ops/ 	OK
3856 	PCH (peering only routes from many exchange points) 	http://lg.pch.net 	OK
4250 	Alentus Corporation 	http://lg.as4250.net/ 	OK
4323 	TW Telecom 	http://lglass.twtelecom.net/ 	OK
4538 	CERNET 	http://bgpview.6test.edu.cn/cgi-bin/querybgp.pl 	OK
4635 	Hong Kong Internet eXchange 	http://www.hkix.net/hkix/hkixlg.html 	OK
4766 	KORNET 	http://looking.kornet.net/looking/lookingView.jsp	OK
4802 	iiNet 	http://looking-glass.iinet.net.au/lg/ 	OK
5006 	Onvoy 	http://lg.onvoy.net/cgi-bin/bgplg 	OK
5056 	netINS 	http://rr.netins.net/lg/lg.cgi 	OK
5377 	Taide 	http://looking-glass.taide.net/ 	OK
5390 	EuroNet 	http://lg.euronet.nl/ 	OK
5400 	BT - British Telecom 	http://lg.bt.net/ 	OK
5408 	Greek Research & Technology Network 	http://netmon.grnet.gr/lg.shtml 	OK
5511 	OpenTransit 	https://lg.opentransit.net/cgi-bin/LG/lg-networks.cgi 	OK
5585 	Israeli Internet eXchange 	http://www.isoc.org.il/iix/2x_looking_glass.html 	OK
5617 	TPNET 	http://lg.tpnet.pl/ 	OK
6315 	XMission 	http://stats.xmission.com/lg 	OK
6373 	Opus One 	http://www.opus1.com/www/looking.html 	OK
6453 	Teleglobe 	http://lg.teleglobe.net/ 	OK
6461 	AboveNet 	http://lg.above.net/ 	OK
6505 	Equant Chile 	http://pit.orange-ftgroup.cl/ 	OK
6509 	CA*net 4 	http://dooka.canet4.net/lg/lg.php 	OK
6661 	P&T Luxembourg 	http://www2.pt.lu/lg/ 	OK
6667 	EUnet 	http://www.eunetip.net/look.shtml 	OK
6695 	DE-CIX 	http://lg.de-cix.net/ 	OK
6730 	Sunrise 	http://debby.sunrise.ch/lg/lg.cgi.html 	OK
6762 	Seabone 	http://etabeta.noc.seabone.net/cgi-bin/lg.pl 	OK
6772 	Improware AG 	http://stats.imp.ch/lg/lg.cgi 	OK
6802 	NREN - Bulgaria 	http://luna.acad.bg/lg 	OK
6886 	INTS 	http://noc.ints.net/trace/ 	OK
6939 	Hurricane Electric 	http://lg.he.net/ 	OK
7474 	Optus 	http://looking-glass.optus.net.au/ 	OK
7481 	Taiwan IX (TWIX) 	http://www.twix.net/probe/nmsprobe.html 	OK
7718 	TransACT 	http://looking-glass.transact.net.au 	OK
8001 	Net Access 	http://eng.nac.net/lookingglass/lg.html 	OK
